  283 R     8.2023 0.1   5.2483 0.1 
  106 G2    7.2387 0.1   4.7709 0.1 
  181 G3    2.5047 0.1   7.8916 0.1 
  376 G1    3.1895 0.1   2.8013 0.1 
  457 G3    4.0067 0.1   8.2243 0.1 
    2 G3    2.7854 0.1   7.8775 0.1 
  497 R     9.4718 0.1   3.2343 0.1 
  337 G1    2.4976 0.1   3.1376 0.1 
  453 G2    6.3885 0.1   5.3575 0.1 
  126 G2    6.9744 0.1   5.8738 0.1 
  348 G2    6.4093 0.1   6.0346 0.1 
  467 G2    9.5898 0.1   2.4849 0.1 
   63 G3    4.1725 0.1   7.4970 0.1 
  313 G2    5.8758 0.1   6.2656 0.1 
  315 G3    2.9269 0.1   9.2124 0.1 
   15 G1    3.0015 0.1   3.1155 0.1 
  149 G3    3.3307 0.1   8.3243 0.1 
   64 G1    3.6388 0.1   3.1256 0.1 
   91 R     4.2560 0.1   1.6892 0.1 
   93 R     7.5697 0.1   1.3969 0.1 
  393 R     3.6681 0.1   1.2077 0.1 
  101 R     2.7784 0.1   9.0558 0.1 
  174 G3    3.8835 0.1   8.7336 0.1 
  207 G2    6.8152 0.1   5.3524 0.1 
  326 R     9.3912 0.1   9.1537 0.1 
  475 G2    6.2045 0.1   5.6051 0.1 
  121 G3    2.1329 0.1   6.9838 0.1 
  352 R     9.4356 0.1   9.3052 0.1 
   20 G3    3.3809 0.1   8.3096 0.1 
  303 G2    7.2888 0.1   5.4701 0.1 
  356 G1    3.2732 0.1   3.2875 0.1 
   79 G1    3.2909 0.1   3.4982 0.1 
  316 G1    3.2662 0.1   2.4600 0.1 
  401 G3    3.0419 0.1   7.2960 0.1 
  372 R     1.6120 0.1   4.3205 0.1 
  346 G1    2.7852 0.1   3.0292 0.1 
  237 R     8.6220 0.1   9.6267 0.1 
   83 G1    3.1441 0.1   2.6328 0.1 
   73 G2    6.8593 0.1   5.1109 0.1 
  385 G1    2.6383 0.1   2.7904 0.1 
   50 G3    2.9121 0.1   7.9150 0.1 
  485 G2    5.8529 0.1   5.9315 0.1 
  336 G3    1.9882 0.1   7.3124 0.1 
  124 R     0.4979 0.1   6.9106 0.1 
  265 G1    3.2809 0.1   3.0135 0.1 
  487 R     1.2626 0.1   4.6232 0.1 
  176 G3    3.1672 0.1   8.1661 0.1 
   22 G1    3.1717 0.1   2.9364 0.1 
  106 G1    3.2035 0.1   2.8097 0.1 
  464 R     1.8788 0.1   9.5900 0.1 
  160 G1    2.9651 0.1   2.9306 0.1 
   53 G2    7.3223 0.1   4.8690 0.1 
  107 G2    7.6614 0.1   4.8133 0.1 
  141 G3    2.2027 0.1   7.2319 0.1 
   26 G2    6.6298 0.1   5.6596 0.1 
  487 G1    2.4167 0.1   3.4967 0.1 
  159 R     5.6272 0.1   2.4964 0.1 
  370 G3    4.2615 0.1   8.2412 0.1 
  338 G1    2.6621 0.1   3.1984 0.1 
  104 G1    2.4234 0.1   3.4946 0.1 
  378 G2    7.2738 0.1   4.5035 0.1 
  154 R     8.1937 0.1   4.3775 0.1 
  395 G2    6.9640 0.1   5.1085 0.1 
   36 G1    3.1371 0.1   3.1450 0.1 
  355 G2    7.1621 0.1   4.8124 0.1 
  451 G1    3.5477 0.1   3.2275 0.1 
   14 G3    4.0661 0.1   8.2879 0.1 
  450 R     4.9258 0.1   3.3919 0.1 
  330 G1    2.5646 0.1   3.2239 0.1 
  269 G1    2.2696 0.1   3.2408 0.1 
  416 G1    3.4268 0.1   3.1751 0.1 
  282 G2    6.2776 0.1   6.5194 0.1 
  412 G1    3.5288 0.1   2.8460 0.1 
  489 G1    2.9131 0.1   3.0701 0.1 
  314 G3    2.6338 0.1   7.6637 0.1 
  261 G1    2.5628 0.1   3.0488 0.1 
  412 G3    2.9480 0.1   7.9202 0.1 
  203 G2    7.8616 0.1   4.0485 0.1 
  280 G3    2.5124 0.1   7.1042 0.1 
   56 G1    2.2418 0.1   2.6871 0.1 
  418 R     3.8141 0.1   0.4103 0.1 
    3 G2    6.6245 0.1   6.4438 0.1 
   28 G2    5.6873 0.1   4.9464 0.1 
  468 G3    2.6801 0.1   7.7851 0.1 
  488 G3    3.5602 0.1   8.8158 0.1 
  128 G3    2.5183 0.1   7.7192 0.1 
  138 G1    2.6147 0.1   3.3239 0.1 
  117 G2    8.0605 0.1   3.5898 0.1 
  461 G3    3.5227 0.1   9.0414 0.1 
  181 R     0.4395 0.1   5.1279 0.1 
   70 G3    3.3240 0.1   8.2631 0.1 
  413 G3    3.6933 0.1   8.1121 0.1 
   11 G2    7.3844 0.1   4.5051 0.1 
  348 G1    2.7895 0.1   2.7062 0.1 
   22 R     2.5710 0.1   5.2467 0.1 
   91 G2    6.9285 0.1   5.0326 0.1 
  196 G1    3.7359 0.1   3.1501 0.1 
  449 G2    7.2751 0.1   4.7286 0.1 
   40 R     8.1756 0.1   4.2589 0.1 
  222 G1    2.8920 0.1   2.9600 0.1 
  462 G2    6.0873 0.1   6.0956 0.1 
  491 R     1.9958 0.1   2.2893 0.1 
  273 R     2.8280 0.1   9.1256 0.1 
  359 G2    6.1411 0.1   5.7145 0.1 
  170 G3    2.7891 0.1   8.2661 0.1 
  488 G2    7.0669 0.1   4.8604 0.1 
  311 G3    1.0221 0.1   8.0468 0.1 
  320 G3    2.4301 0.1   7.6830 0.1 
   38 G3    3.4020 0.1   8.5979 0.1 
  287 G2    6.4476 0.1   5.2627 0.1 
  208 R     1.9566 0.1   9.6823 0.1 
  384 R     3.0975 0.1   5.9597 0.1 
  259 G3    3.1716 0.1   8.3680 0.1 
  202 G3    2.4990 0.1   7.3791 0.1 
  332 R     8.2767 0.1   8.2825 0.1 
  306 G2    8.9602 0.1   3.7774 0.1 
  433 G2    6.1130 0.1   5.8814 0.1 
  177 G2    6.5542 0.1   5.1234 0.1 
  432 G3    2.7097 0.1   6.7598 0.1 
  378 R     3.0217 0.1   0.2678 0.1 
  297 G2    6.7749 0.1   5.0891 0.1 
  353 G3    2.9266 0.1   8.4042 0.1 
  187 G1    3.6727 0.1   2.5906 0.1 
  162 R     0.8891 0.1   5.3041 0.1 
  233 G3    2.7823 0.1   7.8490 0.1 
   60 G3    3.3916 0.1   6.7770 0.1 
  491 G1    3.4624 0.1   2.5132 0.1 
  231 G3    2.6861 0.1   7.5042 0.1 
  490 G3    3.3841 0.1   8.3041 0.1 
  172 G1    3.3280 0.1   3.4056 0.1 
  469 G1    2.6748 0.1   2.7691 0.1 
   67 G3    2.8537 0.1   7.6312 0.1 
   98 R     3.6618 0.1   8.9824 0.1 
  346 G3    3.7444 0.1   7.8647 0.1 
  185 R     3.0753 0.1   5.5669 0.1 
   35 G2    6.2918 0.1   5.6505 0.1 
   51 G1    2.5466 0.1   2.9851 0.1 
  331 G1    3.4425 0.1   3.2539 0.1 
   89 G2    7.7783 0.1   3.6763 0.1 
   79 G3    2.7214 0.1   7.6281 0.1 
  403 G2    8.5427 0.1   4.8129 0.1 
  185 G2    6.8173 0.1   5.1934 0.1 
  273 G3    3.3567 0.1   9.1390 0.1 
  130 G3    3.1980 0.1   8.3725 0.1 
  333 G3    3.0215 0.1   7.8557 0.1 
  242 R     7.7784 0.1   3.5679 0.1 
  375 G3    3.3441 0.1   8.6102 0.1 
   44 R     5.6380 0.1   8.7708 0.1 
  425 R     5.5980 0.1   8.2899 0.1 
   63 R     6.9019 0.1   2.4560 0.1 
   16 G1    3.4122 0.1   2.9379 0.1 
   31 G3    2.8336 0.1   7.9707 0.1 
   27 G2    5.7525 0.1   5.7002 0.1 
  355 G3    2.3335 0.1   7.7495 0.1 
  380 G2    5.7561 0.1   4.1441 0.1 
  114 R     5.2379 0.1   7.8380 0.1 
   68 G1    2.3627 0.1   2.8480 0.1 
  193 G2    6.8113 0.1   5.3898 0.1 
  240 G1    2.5297 0.1   3.1253 0.1 
  423 G1    2.9423 0.1   3.0407 0.1 
  154 G3    2.8305 0.1   7.3975 0.1 
  466 G3    1.7664 0.1   6.8026 0.1 
   12 R     7.3756 0.1   2.7059 0.1 
  361 G2    6.5808 0.1   5.6081 0.1 
  172 R     5.3082 0.1   5.9007 0.1 
  256 G2    6.1498 0.1   5.9134 0.1 
   59 G1    3.2896 0.1   3.1166 0.1 
  140 G2    8.8854 0.1   3.8427 0.1 
   31 G2    5.7214 0.1   5.8841 0.1 
   15 G3    3.0002 0.1   7.7592 0.1 
  397 G1    2.8039 0.1   2.7292 0.1 
  419 G2    6.7032 0.1   5.7321 0.1 
  112 G2    7.2702 0.1   4.5468 0.1 
  312 G1    3.2791 0.1   2.6487 0.1 
  362 G2    7.9279 0.1   3.8747 0.1 
  266 G1    3.2957 0.1   2.9176 0.1 
  298 G1    4.5145 0.1   3.1561 0.1 
  486 G3    2.8299 0.1   7.7574 0.1 
  426 G1    3.1849 0.1   3.1310 0.1 
   87 G2    6.0169 0.1   5.1856 0.1 
  469 R     2.0677 0.1   6.6889 0.1 
  486 R     6.9461 0.1   6.9784 0.1 
  171 G2    8.8496 0.1   3.7874 0.1 
  196 R     0.7286 0.1   6.5862 0.1 
  470 R     8.1254 0.1   2.0350 0.1 
  199 G2    6.8785 0.1   4.3434 0.1 
  468 G1    3.9627 0.1   2.8673 0.1 
  302 R     4.3383 0.1   5.7567 0.1 
   34 G3    1.9279 0.1   7.2160 0.1 
    9 G3    2.1880 0.1   7.7292 0.1 
  364 G2    6.1668 0.1   5.0729 0.1 
  490 G1    3.6160 0.1   3.1897 0.1 
  394 R     8.1380 0.1   4.4522 0.1 
  323 G2    7.0754 0.1   4.6384 0.1 
  449 R     8.1468 0.1   6.8028 0.1 
  284 R     4.3317 0.1   1.6713 0.1 
  469 G3    2.6350 0.1   7.6137 0.1 
  428 G1    2.7151 0.1   2.8943 0.1 
  226 G2    7.7477 0.1   5.4397 0.1 
  255 R     4.2838 0.1   8.2295 0.1 
   27 G3    2.9877 0.1   7.9829 0.1 
  205 G3    3.5537 0.1   8.3338 0.1 
  388 G2    7.8270 0.1   4.4613 0.1 
  151 G1    2.2381 0.1   3.3729 0.1 
  367 G1    3.2203 0.1   2.7975 0.1 
  448 G2    7.5515 0.1   4.5669 0.1 
  439 R     3.7631 0.1   6.7729 0.1 
  102 G2    7.7047 0.1   4.3275 0.1 
  254 R     3.1979 0.1   4.4350 0.1 
  276 G1    2.2410 0.1   2.9756 0.1 
  111 R     1.5631 0.1   8.9995 0.1 
  316 G3    3.3213 0.1   8.2328 0.1 
  465 G1    3.1440 0.1   3.0066 0.1 
  453 G3    3.2086 0.1   7.8974 0.1 
  353 R     1.5624 0.1   2.9769 0.1 
  255 G1    3.2708 0.1   3.0936 0.1 
  314 G1    3.2729 0.1   3.2442 0.1 
  281 R     4.8620 0.1   3.9037 0.1 
  309 G1    4.0451 0.1   2.6774 0.1 
  108 G3    4.0145 0.1   9.1462 0.1 
  148 G2    6.6692 0.1   5.7900 0.1 
  145 R     2.4383 0.1   4.9266 0.1 
  345 G1    3.0333 0.1   3.1258 0.1 
   69 G1    3.2638 0.1   2.9295 0.1 
  371 G1    2.9209 0.1   2.7065 0.1 
  427 G2    4.9706 0.1   5.5432 0.1 
  321 G3    1.6199 0.1   7.8878 0.1 
   47 G3    4.0514 0.1   8.3073 0.1 
  357 R     1.9202 0.1   2.7460 0.1 
   48 G1    2.7963 0.1   2.9515 0.1 
   52 G2    7.1809 0.1   4.8257 0.1 
  381 G3    2.1849 0.1   5.4052 0.1 
  421 R     4.8904 0.1   5.7835 0.1 
  157 G1    3.0449 0.1   2.6322 0.1 
  494 G1    3.2085 0.1   3.2298 0.1 
  251 G1    3.0176 0.1   3.2370 0.1 
  324 G1    2.1447 0.1   2.7414 0.1 
  431 G3    1.8222 0.1   7.1052 0.1 
  213 R     4.7566 0.1   1.2117 0.1 
   70 G1    2.5934 0.1   2.9003 0.1 
  357 G2    7.3443 0.1   4.7161 0.1 
  322 G1    2.1056 0.1   3.0789 0.1 
  224 G2    7.4949 0.1   4.7881 0.1 
  356 G3    4.8038 0.1   9.4080 0.1 
  271 G2    8.3418 0.1   3.8409 0.1 
  360 G3    3.2421 0.1   9.6690 0.1 
  273 G2    6.3641 0.1   6.4751 0.1 
  141 G2    7.0492 0.1   4.9457 0.1 
   21 R     7.9936 0.1   7.0862 0.1 
  184 R     6.1533 0.1   5.1256 0.1 
  384 G3    3.3946 0.1   8.0345 0.1 
  327 G2    6.1515 0.1   5.7537 0.1 
  244 G2    6.1731 0.1   5.8196 0.1 
  142 R     2.0398 0.1   8.4665 0.1 
  165 G2    8.8099 0.1   3.8919 0.1 
  225 G2    8.0963 0.1   4.2969 0.1 
  499 G2    6.7863 0.1   5.4426 0.1 
  179 G2    6.6937 0.1   6.2303 0.1 
  200 G1    2.5209 0.1   2.8498 0.1 
   96 R     0.1722 0.1   3.5358 0.1 
  443 R     8.5938 0.1   7.9860 0.1 
  256 G3    3.5563 0.1   8.5312 0.1 
   98 G1    3.2200 0.1   3.4085 0.1 
  302 G3    2.0948 0.1   7.1734 0.1 
  171 R     2.0576 0.1   3.5875 0.1 
  177 G3    4.0977 0.1   8.8559 0.1 
    7 G2    6.6591 0.1   5.7854 0.1 
   16 R     9.7951 0.1   1.6533 0.1 
  350 G1    4.2410 0.1   2.7771 0.1 
  206 G2    7.0428 0.1   4.5928 0.1 
  326 G2    7.3104 0.1   4.9144 0.1 
    6 R     6.9562 0.1   6.2261 0.1 
  319 R     7.2077 0.1   3.8567 0.1 
  490 R     4.0736 0.1   6.8006 0.1 
  403 G3    3.7167 0.1   8.7251 0.1 
  303 R     0.9261 0.1   2.4287 0.1 
  405 R     1.9470 0.1   7.0684 0.1 
   85 G3    2.9411 0.1   7.8810 0.1 
   31 G1    3.7504 0.1   2.7840 0.1 
   50 R     0.5469 0.1   4.6440 0.1 
  305 G3    2.6258 0.1   7.8837 0.1 
  341 G3    2.6045 0.1   7.7400 0.1 
  267 G3    3.2665 0.1   8.1028 0.1 
  454 G3    5.1691 0.1   9.4895 0.1 
  132 G1    2.3210 0.1   2.6558 0.1 
  186 G3    3.2107 0.1   8.2537 0.1 
  175 R     9.1663 0.1   5.2989 0.1 
  223 R     1.6636 0.1   8.7286 0.1 
  405 G3    4.6410 0.1   9.2598 0.1 
  200 R     7.0957 0.1   9.0741 0.1 
  392 G1    3.0691 0.1   3.0637 0.1 
  349 R     9.3604 0.1   2.4347 0.1 
  301 R     3.3692 0.1   4.8902 0.1 
  429 G3    2.7898 0.1   7.7122 0.1 
  435 G3    3.7967 0.1   8.0450 0.1 
  488 G1    2.9565 0.1   3.0516 0.1 
   93 G3    2.0141 0.1   7.3353 0.1 
  389 G2    7.8084 0.1   4.2054 0.1 
  313 R     6.2928 0.1   3.4521 0.1 
  199 R     3.9619 0.1   4.6856 0.1 
   55 G2    7.8304 0.1   4.6802 0.1 
  260 G2    6.8912 0.1   5.1916 0.1 
   26 R     8.1894 0.1   2.5606 0.1 
  287 G1    2.7453 0.1   2.8298 0.1 
  459 R     0.9837 0.1   0.1824 0.1 
  303 G1    2.3783 0.1   2.8432 0.1 
  195 R     2.0854 0.1   1.7496 0.1 
    8 G1    3.4064 0.1   3.1835 0.1 
